GeneName,mRNA,CB clip score,dendritic CLIP score
Scap,NM_001001144,2.026693133,0.816094217
Ccdc148,NM_001001178,-0.485383117,0.576669094
Baz2b,NM_001001182,0.081129791,-0.706859296
Zfp738,NM_001001187,2.242368202,0.625689198
Dis3l,NM_001001295,0.899005476,-0.134681787
St5,NM_001001326,0.331084264,-0.271800088
Chpf,NM_001001566,0.567289094,-0.335148203
Nckap5l,NM_001001884,-0.669490143,-0.472021405
Tmem151a,NM_001001885,-0.973613945,-1.399192194
Eea1,NM_001001932,-0.053616804,-0.869058512
Megf10,NM_001001979,-0.960920772,-1.246035947
Limch1,NM_001001980,0.418655446,0.100725413
Utp14b,NM_001001981,0.268538755,0.798204073
Pi4ka,NM_001001983,3.727173065,1.633002105
Kdm2a,NM_001001984,0.500751653,-0.019132238
Nat8l,NM_001001985,-0.095043096,-1.236371311
Nol4l,NM_001001986,0.337043296,-0.505406699
2610507B11Rik,NM_001002004,4.132047834,2.47885634
Panx2,NM_001002005,2.229508909,1.058210719
Rpl17,NM_001002239,-0.228874315,0.248797329
Tmem158,NM_001002267,-1.482054894,-0.661380206
Smg6,NM_001002764,0.805688582,-0.803757994
Tardbp,NM_001003898,-1.767788372,-1.502648523
Cltc,NM_001003908,2.855784316,-0.011062538
Ankib1,NM_001003909,1.009512551,-0.44868327
Arhgef11,NM_001003912,2.78199812,1.197926117
Atg9a,NM_001003917,0.290950476,-0.115629871
Usp7,NM_001003918,1.700773566,-0.867871809
Cyp4x1,NM_001003947,0.585935309,1.886598679
Tmem259,NM_001003949,-0.413525305,-0.302743356
Kdm2b,NM_001003953,0.072433161,-0.94177121
Crtc1,NM_001004062,1.307277283,0.370940825
Usp22,NM_001004143,0.681313549,-0.306769192
Git1,NM_001004144,3.673143289,2.407749518
Fbll1,NM_001004147,-1.510661327,0.163896036
Gnptab,NM_001004164,2.183691517,-0.421866202
Celsr2,NM_001004177,2.519595045,0.446378062
Tmem178b,NM_001004182,1.407194293,0.497543346
Amigo1,NM_001004293,-1.240745988,-1.249109677
Cntnap2,NM_001004357,0.418940385,-0.315260478
Tpgs2,NM_001004361,-0.167057743,0.584790646
2610008E11Rik,NM_001004362,-1.58611946,0.117864846
Nuak1,NM_001004363,-0.64748494,-0.554264531
Wapl,NM_001004436,1.955164841,-1.671337177
Pigu,NM_001004721,-0.236189573,0.970292458
Gpr158,NM_001004761,1.002475296,-0.538941063
Hps5,NM_001005247,-1.432278664,-0.656980766
Ypel2,NM_001005341,-0.723326761,-0.359666038
Gprasp1,NM_001005385,1.41337745,-0.345678687
Ado,NM_001005419,0.070537757,0.501723863
Syne2,NM_001005510,-1.096112372,-2.148153088
Lmtk3,NM_001005511,0.515363146,-0.689154101
Mtus1,NM_001005865,-0.745399468,2.459996973
Zbtb9,NM_001005916,-1.042223408,0.495243598
Epb41l1,NM_001006664,3.007474157,1.559469256
Adam22,NM_001007221,0.900397769,-0.048410603
Slc7a6os,NM_001007567,-0.413563108,1.335326552
Zfp251,NM_001007568,0.232308099,-0.683030236
Slc25a42,NM_001007570,-0.541117236,-0.909932874
Maneal,NM_001007573,1.715333547,1.065742818
Zfp58,NM_001007575,0.584827378,1.091534751
Trp53rka,NM_001007581,2.334371084,0.533341865
Rtn1,NM_001007596,0.27995873,-0.398996413
Scaf1,NM_001008422,3.268271884,1.961029542
Zc3h14,NM_001008506,1.485041513,-0.18812809
Zfyve26,NM_001008550,1.000280628,-0.567749538
Whrn,NM_001008791,-1.343610096,-0.397803688
11-Sep,NM_001009818,-0.077583625,0.251123215
Dock11,NM_001009947,0.117936011,-0.724757146
Slc25a51,NM_001009949,0.376437293,-0.623209547
Pde1a,NM_001009978,1.787942151,0.655114578
