"Transcript_id","FMRP_ChR2_rep1","FMRP_ChR2_rep4","FMRP_Control_rep1","FMRP_Control_rep2","FMRP_Control_rep3","FMRP_Control_rep4","FMRP_ChR2_rep3","FMRP_ChR2_rep2"
"ENSMUST00000000001",1,2,1,8,3,7,0,0
"ENSMUST00000000058",0,0,1,2,2,0,3,0
"ENSMUST00000000080",0,1,1,8,9,12,1,0
"ENSMUST00000000090",0,0,0,1,1,1,1,1
"ENSMUST00000000095",0,0,0,0,0,0,1,0
"ENSMUST00000000129",0,1,0,2,2,2,1,1
"ENSMUST00000000137",2,10,17,32,35,36,35,5
"ENSMUST00000000153",0,2,8,27,7,16,9,4
"ENSMUST00000000175",0,1,0,1,1,1,0,0
"ENSMUST00000000188",0,3,1,7,9,11,2,0
"ENSMUST00000000193",0,0,1,1,0,0,0,0
"ENSMUST00000000199",1,10,14,51,20,41,24,10
"ENSMUST00000000201",1,1,3,12,9,7,3,6
"ENSMUST00000000253",1,1,2,11,2,5,2,3
"ENSMUST00000000260",0,0,0,1,0,2,0,0
"ENSMUST00000000285",1,4,1,9,5,6,8,1
"ENSMUST00000000287",0,1,0,0,0,0,0,0
"ENSMUST00000000291",1,0,0,2,1,3,1,1
"ENSMUST00000000305",0,0,0,1,0,0,1,0
"ENSMUST00000000314",0,0,1,3,0,0,0,0
"ENSMUST00000000317",0,1,0,1,0,1,1,0
"ENSMUST00000000326",0,0,0,0,1,0,0,0
"ENSMUST00000000335",0,0,0,1,0,1,0,1
"ENSMUST00000000348",0,0,1,3,0,2,0,1
"ENSMUST00000000349",0,0,1,7,2,1,1,0
"ENSMUST00000000356",0,1,0,2,1,5,0,0
"ENSMUST00000000365",0,0,0,0,0,1,0,0
"ENSMUST00000000384",2,10,15,45,25,34,33,6
"ENSMUST00000000388",0,0,0,3,1,4,0,0
"ENSMUST00000000449",1,0,2,3,0,3,1,1
"ENSMUST00000000451",1,1,7,7,2,5,1,0
"ENSMUST00000000476",0,0,1,4,4,2,2,0
"ENSMUST00000000543",0,0,0,1,1,0,4,0
"ENSMUST00000000544",0,6,5,17,12,17,12,0
"ENSMUST00000000572",0,2,1,3,0,7,5,0
"ENSMUST00000000579",1,2,9,14,6,7,4,0
"ENSMUST00000000594",0,0,0,0,2,3,3,0
"ENSMUST00000000608",0,0,1,2,1,2,4,0
"ENSMUST00000000619",3,4,7,10,14,22,11,2
"ENSMUST00000000641",0,0,0,0,0,2,1,0
"ENSMUST00000000642",0,0,0,1,0,2,0,0
"ENSMUST00000000724",0,0,3,10,2,2,2,0
"ENSMUST00000000727",0,0,0,4,7,2,3,0
"ENSMUST00000000756",0,0,1,1,1,0,0,2
"ENSMUST00000000759",0,0,0,0,0,2,1,0
"ENSMUST00000000767",0,0,0,1,1,5,0,0
"ENSMUST00000000804",3,8,7,21,8,24,12,0
"ENSMUST00000000828",0,0,0,0,0,0,1,0
"ENSMUST00000000881",0,3,2,16,8,6,6,1
"ENSMUST00000000894",1,0,0,0,0,0,0,0
"ENSMUST00000000896",0,0,0,0,1,1,0,0
"ENSMUST00000000925",0,0,0,0,0,0,1,0
"ENSMUST00000000939",0,1,2,4,3,4,2,0
"ENSMUST00000000940",0,0,0,5,5,3,4,0
"ENSMUST00000000958",0,0,1,0,0,0,1,0
"ENSMUST00000000985",0,0,2,2,0,2,2,0
"ENSMUST00000001002",0,0,3,3,4,5,2,0
